Column1,Column2
EXT,I am the life of the party.
EXT,I don't talk a lot.
EXT,I feel comfortable around people.
EXT,I keep in the background.
EXT,I start conversations.
EXT,I have little to say.
EXT,I talk to a lot of different people at parties.
EXT,I don't like to draw attention to myself.
EXT,I don't mind being the center of attention.
EXT,I am quiet around strangers.
EST,I get stressed out easily.
EST,I am relaxed most of the time.
EST,I worry about things.
EST,I seldom feel blue.
EST,I am easily disturbed.
EST,I get upset easily.
EST,I change my mood a lot.
EST,I have frequent mood swings.
EST,I get irritated easily.
EST,I often feel blue.
AGR,I feel little concern for others.
AGR,I am interested in people.
AGR,I insult people.
AGR,I sympathize with others' feelings.
AGR,I am not interested in other people's problems.
AGR,I have a soft heart.
AGR,I am not really interested in others.
AGR,I take time out for others.
AGR,I feel others' emotions.
AGR,I make people feel at ease.
CSN,I am always prepared.
CSN,I leave my belongings around.
CSN,I pay attention to details.
CSN,I make a mess of things.
CSN,I get chores done right away.
CSN,I often forget to put things back in their proper place.
CSN,I like order.
CSN,I shirk my duties.
CSN,I follow a schedule.
CSN,I am exacting in my work.
OPN,I have a rich vocabulary.
OPN,I have difficulty understanding abstract ideas.
OPN,I have a vivid imagination.
OPN,I am not interested in abstract ideas.
OPN,I have excellent ideas.
OPN,I do not have a good imagination.
OPN,I am quick to understand things.
OPN,I use difficult words.
OPN,I spend time reflecting on things.
OPN,I am full of ideas.
