Component,Explained_Variance,Cumulative_Variance
1,0.15149746518581836,0.15149746518581836
2,0.10507869680419571,0.2565761619900141
3,0.0790747483242362,0.3356509103142503
4,0.05748360924960935,0.3931345195638597
5,0.05707435012697775,0.45020886969083745
6,0.04181247162774974,0.4920213413185872
7,0.024476185624098243,0.5164975269426855
8,0.02216399558413101,0.5386615225268164
9,0.01947530945651377,0.5581368319833302
10,0.01904131264850403,0.5771781446318343
11,0.01817344274387417,0.5953515873757085
12,0.017552038752131075,0.6129036261278396
13,0.016180933317776116,0.6290845594456157
14,0.015848276509583387,0.6449328359551991
15,0.015092905286521796,0.660025741241721
16,0.01477352388900991,0.6747992651307309
17,0.013789906408611457,0.6885891715393423
18,0.013555492012544718,0.702144663551887
19,0.0131314319820451,0.7152760955339321
20,0.012661096266955413,0.7279371918008876
21,0.012246414739005174,0.7401836065398928
22,0.012078096238177351,0.7522617027780701
23,0.011721122066008,0.7639828248440781
24,0.011309256272914774,0.7752920811169929
25,0.011167978224892872,0.7864600593418858
26,0.010994875019989435,0.7974549343618752
27,0.010666130063177749,0.8081210644250529
28,0.010433412835059129,0.8185544772601121
29,0.010161675454513599,0.8287161527146257
30,0.010138628750796802,0.8388547814654226
31,0.009894252132789477,0.8487490335982121
32,0.009772813947234138,0.8585218475454462
33,0.009661431644481846,0.8681832791899281
34,0.009508685170134428,0.8776919643600626
35,0.009363319008511537,0.8870552833685741
36,0.009157515920552204,0.8962127992891263
37,0.008826758620715103,0.9050395579098415
38,0.008773515980535098,0.9138130738903766
39,0.008727495532097123,0.9225405694224738
40,0.008549200860091463,0.9310897702825652
41,0.008252737225236199,0.9393425075078015
42,0.008193002282137995,0.9475355097899395
43,0.008033488067835057,0.9555689978577746
44,0.007204978310795494,0.9627739761685701
45,0.0070606216159012644,0.9698345977844713
46,0.006949302349569692,0.976783900134041
47,0.006397044779269124,0.9831809449133102
48,0.005946719783288387,0.9891276646965986
49,0.005660728149090305,0.994788392845689
50,0.005211607154311808,1.0000000000000009
